Num_Conv_Layers,Num_Filters,Kernel_Size,MLP_Num_Hidden_Layers,MLP_Units_Per_Layer,Activation,Dropout_Rate,Batch_Size,Epochs,Learning_Rate,Output_Activation,Accuracy
1,32,"(5, 5)",2,256,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",2,512,relu,0.4,32,50,0.001,sigmoid,0.9543378949165344
1,32,"(5, 5)",2,512,relu,0.4,32,50,0.001,softmax,0.965753436088562
1,32,"(5, 5)",2,512,relu,0.4,32,50,0.01,sigmoid,0.3253424763679504
1,32,"(5, 5)",2,512,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",2,512,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(5, 5)",2,512,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",3,32,relu,0.4,32,50,0.001,sigmoid,0.9543378949165344
1,32,"(5, 5)",3,32,relu,0.4,32,50,0.001,softmax,0.931506872177124
1,32,"(5, 5)",3,32,relu,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",3,32,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",3,32,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",3,32,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",3,64,relu,0.4,32,50,0.001,sigmoid,0.9668949842453004
1,32,"(5, 5)",3,64,relu,0.4,32,50,0.001,softmax,0.9623287916183472
1,32,"(5, 5)",3,64,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",3,64,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",3,64,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(5, 5)",3,64,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",3,128,relu,0.4,32,50,0.001,sigmoid,0.953196346759796
1,32,"(5, 5)",3,128,relu,0.4,32,50,0.001,softmax,0.9600456357002258
1,32,"(5, 5)",3,128,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",3,128,relu,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(5, 5)",3,128,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(5, 5)",3,128,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",3,256,relu,0.4,32,50,0.001,sigmoid,0.97374427318573
1,32,"(5, 5)",3,256,relu,0.4,32,50,0.001,softmax,0.9589040875434875
1,32,"(5, 5)",3,256,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",3,256,relu,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(5, 5)",3,256,relu,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(5, 5)",3,256,relu,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",3,512,relu,0.4,32,50,0.001,sigmoid,0.9497717022895812
1,32,"(5, 5)",3,512,relu,0.4,32,50,0.001,softmax,0.9577625393867492
1,32,"(5, 5)",3,512,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",3,512,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",3,512,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",3,512,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,64,"(5, 5)",1,32,relu,0.4,32,50,0.001,sigmoid,0.9668949842453004
1,64,"(5, 5)",1,32,relu,0.4,32,50,0.001,softmax,0.3424657583236694
1,64,"(5, 5)",1,32,relu,0.4,32,50,0.01,sigmoid,0.3436073064804077
1,64,"(5, 5)",1,32,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,64,"(5, 5)",1,32,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,64,"(5, 5)",1,32,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,64,"(5, 5)",1,64,relu,0.4,32,50,0.001,sigmoid,0.956620991230011
1,64,"(5, 5)",1,64,relu,0.4,32,50,0.001,softmax,0.9600456357002258
1,64,"(5, 5)",1,64,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,64,"(5, 5)",1,64,relu,0.4,32,50,0.01,softmax,0.3321917951107025
1,64,"(5, 5)",1,64,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,64,"(5, 5)",1,64,relu,0.4,32,50,0.1,softmax,0.3253424763679504
1,64,"(5, 5)",1,128,relu,0.4,32,50,0.001,sigmoid,0.952054798603058
1,64,"(5, 5)",1,128,relu,0.4,32,50,0.001,softmax,0.9611872434616088
1,64,"(5, 5)",1,128,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,64,"(5, 5)",1,128,relu,0.4,32,50,0.01,softmax,0.3424657583236694
