Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,512,relu,0.001,16,10,0.9257990867579908
1,512,relu,0.001,16,30,0.9497716894977168
1,512,relu,0.001,16,50,0.9383561643835616
1,512,relu,0.001,16,70,0.9394977168949772
1,512,relu,0.001,32,10,0.9155251141552512
1,512,relu,0.001,32,30,0.932648401826484
1,512,relu,0.001,32,50,0.9394977168949772
1,512,relu,0.001,32,70,0.9394977168949772
1,512,relu,0.001,64,10,0.9018264840182648
1,512,relu,0.001,64,30,0.9223744292237442
1,512,relu,0.001,64,50,0.9257990867579908
1,512,relu,0.001,64,70,0.934931506849315
1,512,relu,0.01,16,10,0.910958904109589
1,512,relu,0.01,16,30,0.9075342465753424
1,512,relu,0.01,16,50,0.9166666666666666
1,512,relu,0.01,16,70,0.9121004566210046
1,512,relu,0.01,32,10,0.906392694063927
1,512,relu,0.01,32,30,0.9018264840182648
1,512,relu,0.01,32,50,0.9155251141552512
1,512,relu,0.01,32,70,0.9246575342465754
1,512,relu,0.01,64,10,0.9098173515981736
1,512,relu,0.01,64,30,0.8904109589041096
1,512,relu,0.01,64,50,0.8984018264840182
1,512,relu,0.01,64,70,0.9178082191780822
1,512,relu,0.1,16,10,0.8961187214611872
1,512,relu,0.1,16,30,0.9041095890410958
1,512,relu,0.1,16,50,0.9189497716894978
1,512,relu,0.1,16,70,0.906392694063927
1,512,relu,0.1,32,10,0.9029680365296804
1,512,relu,0.1,32,30,0.9121004566210046
1,512,relu,0.1,32,50,0.9257990867579908
1,512,relu,0.1,32,70,0.9223744292237442
1,512,relu,0.1,64,10,0.8767123287671232
1,512,relu,0.1,64,30,0.8995433789954338
1,512,relu,0.1,64,50,0.9121004566210046
1,512,relu,0.1,64,70,0.9189497716894978
1,512,sigmoid,0.001,16,10,0.7888127853881278
1,512,sigmoid,0.001,16,30,0.8767123287671232
1,512,sigmoid,0.001,16,50,0.8812785388127854
1,512,sigmoid,0.001,16,70,0.884703196347032
1,512,sigmoid,0.001,32,10,0.70662100456621
